id,lat,lng
1,3101.665946,12126.249237
2,3101.655731,12126.253202
3,3101.647764,12126.258567
4,3101.636577,12126.265618
5,3101.625598,12126.273117
6,3101.616939,12126.281052
7,3101.606726,12126.295716
8,3101.599048,12126.313135
9,3101.599203,12126.329346
10,3101.606483,12126.339073
11,3101.613502,12126.349472
12,3101.621195,12126.358309
13,3101.625378,12126.360605
14,3101.626583,12126.356754
15,3101.624836,12126.346403
16,3101.621876,12126.336219
17,3101.620624,12126.327131
18,3101.625493,12126.326594
19,3101.631822,12126.332433
20,3101.638226,12126.338349
21,3101.642276,12126.335503
22,3101.642903,12126.327954
23,3101.642041,12126.319614
24,3101.639163,12126.308822
25,3101.639583,12126.300123
26,3101.641761,12126.292372
27,3101.648722,12126.291333
28,3101.656259,12126.294494
29,3101.665418,12126.293377
30,3101.657865,12126.286228
31,3101.657741,12126.277857
32,3101.656813,12126.269172
33,3101.662201,12126.261659
34,3101.657783,12126.255518
35,3101.656377,12126.253051
